profile,scenario,failed,failure_t,min_z,max_tilt,final_z,final_tilt,max_target_step_first_s
shorter,0,0,-1,0.74017,0.459489,0.777046,0.0592814,0.03
shorter,1,0,-1,0.636875,0.475432,0.777956,0.0610797,0.03
shorter,2,0,-1,0.727757,0.467823,0.7772,0.0600076,0.03
shorter,3,1,0.758,0.517561,1.00272,0.548403,1.00272,0.03
shorter,4,1,0.75,0.50645,1.00556,0.529984,1.00556,0.03
higher_rate,0,0,-1,0.740072,0.459489,0.776828,0.0589402,0.05
higher_rate,1,1,0.796,0.538154,1.00316,0.575338,1.00316,0.05
higher_rate,2,0,-1,0.692142,0.472985,0.779394,0.0498531,0.05
higher_rate,3,1,0.723,0.43012,1.0031,0.43012,1.0031,0.05
higher_rate,4,1,0.757,0.451754,1.00701,0.455853,1.00701,0.05
