profile,scenario,failed,failure_t,min_z,max_tilt,final_z,final_tilt,max_target_step_first_s
shorter,0,0,-1,0.749365,0.49202,0.778317,0.0554292,0.03
shorter,1,0,-1,0.73003,0.503158,0.777816,0.059712,0.03
shorter,2,0,-1,0.745605,0.501193,0.778393,0.0577503,0.03
shorter,3,0,-1,0.732455,0.504768,0.77793,0.060084,0.03
shorter,4,0,-1,0.719851,0.531519,0.777862,0.0596061,0.03
higher_rate,0,0,-1,0.749028,0.49202,0.777854,0.0587399,0.05
higher_rate,1,0,-1,0.721772,0.508498,0.778102,0.0601287,0.05
higher_rate,2,0,-1,0.745331,0.506218,0.778528,0.0578248,0.05
higher_rate,3,0,-1,0.726046,0.511358,0.777824,0.0604058,0.05
higher_rate,4,0,-1,0.721574,0.55075,0.777359,0.061418,0.05
