profile,scenario,failed,failure_t,min_z,max_tilt,final_z,final_tilt,max_target_step_first_s
legacy,0,0,-1,0.72368,0.459489,0.775997,0.0598279,0.358275
legacy,1,1,0.958,0.590298,1.00524,0.651058,1.00524,0.747334
legacy,2,0,-1,0.697347,0.510325,0.777771,0.0577525,0.586857
legacy,3,1,0.93,0.569278,1.01095,0.605833,1.01095,0.737779
legacy,4,1,0.952,0.594832,1.00698,0.647213,1.00698,0.926888
recovery,0,0,-1,0.740069,0.459489,0.776993,0.0591142,0.03
recovery,1,1,0.799,0.536971,1.00755,0.576898,1.00755,0.03
recovery,2,0,-1,0.684095,0.472979,0.778752,0.0519633,0.03
recovery,3,1,0.729,0.427618,1.00797,0.427897,1.00797,0.03
recovery,4,1,0.761,0.456583,1.00174,0.46194,1.00174,0.03
