profile,scenario,failed,failure_t,min_z,max_tilt,final_z,final_tilt,max_target_step_first_s
legacy,0,0,-1,0.73031,0.49202,0.778651,0.0583109,0.455515
legacy,1,0,-1,0.70055,0.571174,0.778906,0.0541037,0.644207
legacy,2,1,0.927,0.676358,1.00504,0.709888,1.00504,0.842297
legacy,3,1,1.482,0.666313,1.00018,0.759535,1.00018,0.776927
legacy,4,0,-1,0.710399,0.612227,0.778394,0.0576192,0.59201
recovery,0,0,-1,0.74903,0.49202,0.778013,0.0583204,0.03
recovery,1,0,-1,0.718426,0.508498,0.77812,0.060697,0.03
recovery,2,0,-1,0.744301,0.506228,0.778577,0.0581076,0.03
recovery,3,0,-1,0.723808,0.511358,0.777623,0.0597291,0.03
recovery,4,0,-1,0.719762,0.550747,0.776635,0.0612391,0.03
