Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0781031796966807,6.40013990763078E-09,-0.017579881731855,0,0,0,7.89106591706423,0.0133823570042563,5.08858786831862E-08,8.74380826146786E-06,0.00953187684375665,-4.50263172039393E-06,0.0120543841685861,0,0,0,0,0,0,package://humanoid_ultra_description/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://humanoid_ultra_description/meshes/base_link.STL,,腰部（改）-1,base_link_axis,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
left_hip_roll_link,0.0821378265385484,-1.90284105194838E-07,-0.010336566648555,0,0,0,1.73664512071164,0.00160438176100155,-7.52185773673382E-11,-9.30081554766048E-06,0.00217816037084315,5.66489712029913E-10,0.00316985951666548,0,0,0,0,0,0,package://humanoid_ultra_description/meshes/left_hip_roll_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://humanoid_ultra_description/meshes/left_hip_roll_link.STL,,大腿内旋-2,left_hip_roll_axis,left_hip_roll,left_hip_roll_joint,revolute,-0.0835000000000025,0.149766660498395,-0.0343586385440964,0,0,0,base_link,1,0,0,10,10,-3.1416,3.1416,,,,,,,,
left_hip_yaw_link,7.67233315920879E-07,0.0205003549393846,-0.104309383404206,0,0,0,1.46284235577634,0.00503968068930785,-1.40042090186289E-07,4.42949652968909E-07,0.00201636531689819,-0.000896781255670782,0.00414729841628426,0,0,0,0,0,0,package://humanoid_ultra_description/meshes/left_hip_yaw_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://humanoid_ultra_description/meshes/left_hip_yaw_link.STL,,胯-腿板-1,left_hip_yaw_axis,left_hip_yaw,left_hip_yaw_joint,revolute,0.0834999999999998,0,-0.0274999999999998,0,0,0,left_hip_roll_link,0,0,-1,10,10,-3.1415926,3.1415926,,,,,,,,
left_hip_pitch_link,0.00290200689361373,0.00322728209220917,-0.0315016344748031,0,0,0,8.35630276269156,0.0302812150568841,7.64758600773425E-06,0.000430970033362962,0.0417247317944399,-3.17223315850868E-06,0.0154361619219556,0,0,0,0,0,0,package://humanoid_ultra_description/meshes/left_hip_pitch_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://humanoid_ultra_description/meshes/left_hip_pitch_link.STL,,左大腿-1,left_hip_pitch_axis,left_hip_pitch,left_hip_pitch_joint,revolute,0,-0.00679999999999965,-0.1652,0,0,0,left_hip_yaw_link,0,-1,0,10,10,-3.1415926,3.1415926,,,,,,,,
left_knee_link,0.00683418872966539,0.000124264638843172,-0.143091896877221,0,0,0,2.02536692124872,0.00726707897427713,1.68884152738762E-06,0.000426386979808117,0.00725297918520801,3.79923958345023E-05,0.000928642065595828,0,0,0,0,0,0,package://humanoid_ultra_description/meshes/left_knee_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://humanoid_ultra_description/meshes/left_knee_link.STL,,左小腿-1,left_knee_axis,left_knee,left_knee_joint,revolute,0,0,-0.379999999999996,0,0,0,left_hip_pitch_link,0,-1,0,10,10,-3.1415926,3.1415926,,,,,,,,
left_ankle_pitch_link,-2.93852466665134E-10,3.75665804019931E-10,1.29602995002642E-11,0,0,0,0.0241612944467329,1.60258009947214E-06,-4.93048698634837E-14,-3.65713217305712E-08,1.11549878403822E-06,2.19265370914457E-15,2.42331010649696E-06,0,0,0,0,0,0,package://humanoid_ultra_description/meshes/left_ankle_pitch_link.STL,0.650980392156863,0.619607843137255,0.588235294117647,1,0,0,0,0,0,0,package://humanoid_ultra_description/meshes/left_ankle_pitch_link.STL,,十字轴-2,left_ankle_pitch_axis,left_ankle_pitch,left_ankle_pitch_joint,revolute,0,0,-0.3713667324878,0,0,0,left_knee_link,0,1,0,10,10,-3.1415926,3.1415926,,,,,,,,
left_ankle_roll_link,0.0204227352952841,3.87696823382633E-06,-0.025656457546323,0,0,0,0.686921917748093,0.00031001047515309,-6.85781883144683E-12,2.32869572167164E-06,0.00195437130643132,-3.76148918875983E-13,0.00223309537012437,0,0,0,0,0,0,package://humanoid_ultra_description/meshes/left_ankle_roll_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://humanoid_ultra_description/meshes/left_ankle_roll_link.STL,,足部-1,left_ankle_roll_axis,left_ankle_roll,left_ankle_roll_joint,revolute,0,0,0,0,0.0444420958217119,0,left_ankle_pitch_link,1,0,0,10,10,-3.1415926,3.1415926,,,,,,,,
right_hip_roll_link,0.0821378265385484,-1.90284107415284E-07,-0.010336566648554,0,0,0,1.73664512071165,0.00160438176100156,-7.52185768531055E-11,-9.30081554766078E-06,0.00217816037084316,5.66489712949421E-10,0.00316985951666548,0,0,0,0,0,0,package://humanoid_ultra_description/meshes/right_hip_roll_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://humanoid_ultra_description/meshes/right_hip_roll_link.STL,,大腿内旋-1,right_hip_roll_axis,right_hip_roll,right_hip_roll_joint,revolute,-0.0835000000000026,-0.149766660498396,-0.034358638544096,0,0,0,base_link,1,0,0,10,10,-3.1416,3.1416,,,,,,,,
right_hip_yaw_link,-7.67233316153332E-07,-0.0205003549393837,-0.104309383404206,0,0,0,1.46284235577635,0.0050396806893079,-1.40042090191095E-07,-4.42949652969505E-07,0.00201636531689825,0.000896781255670798,0.00414729841628434,0,0,0,0,0,0,package://humanoid_ultra_description/meshes/right_hip_yaw_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://humanoid_ultra_description/meshes/right_hip_yaw_link.STL,,胯-腿板-2,right_hip_yaw_axis,right_hip_yaw,right_hip_yaw_joint,revolute,0.0834999999999998,0,-0.027499999999999,0,0,0,right_hip_roll_link,0,0,-1,10,10,-3.1415926,3.1415926,,,,,,,,
right_hip_pitch_link,0.00289910739639842,-0.00314608705638994,-0.0312335752006904,0,0,0,8.38236123080177,0.0303725503338614,-4.46733925401142E-06,0.000419708224204106,0.0418816779497492,1.89930794591943E-06,0.0155259522990322,0,0,0,0,0,0,package://humanoid_ultra_description/meshes/right_hip_pitch_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://humanoid_ultra_description/meshes/right_hip_pitch_link.STL,,右大腿-2,right_hip_pitch_axis,right_hip_pitch,right_hip_pitch_joint,revolute,0,0.00680000000000042,-0.165200000000001,0,0,0,right_hip_yaw_link,0,1,0,10,10,-3.1415926,3.1415926,,,,,,,,
