Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0259220397697615,6.52076224863518E-07,0.00226429113376425,0,0,0,3.78369922794113,0.00609635681358794,3.68413491723246E-08,8.34260301967037E-06,0.0035296197246608,1.92142455292288E-06,0.00604011347741462,0,0,0,0,0,0,package://humanoidultra01/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://humanoidultra01/meshes/base_link.STL,,腰部（改）-1,base_link_axis,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
left_hip_roll_link,0.0819475708696982,1.68524971730366E-06,-0.00680809099572988,0,0,0,1.58332289211757,0.00144317613942072,-6.62279074428116E-09,-9.42600306727629E-06,0.00210165346973852,-5.49960808987458E-09,0.00327063818377022,0,0,0,0,0,0,package://humanoidultra01/meshes/left_hip_roll_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://humanoidultra01/meshes/left_hip_roll_link.STL,,大腿内旋-2,left_hip_roll_axis,left_hip_roll,left_hip_roll_joint,revolute,-0.0835000000000025,0.149766660498395,-0.0343586385440964,0,0,0,base_link,1,0,0,300,12.56,-3.14,3.14,,,,,,,,
left_hip_yaw_link,7.64140680578618E-07,0.0229567950736262,-0.100460699465144,0,0,0,1.47113712969536,0.00504026442037275,-1.40183363128303E-07,4.42977593053484E-07,0.00200739079077326,-0.00089678098539503,0.00415425170246461,0,0,0,0,0,0,package://humanoidultra01/meshes/left_hip_yaw_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://humanoidultra01/meshes/left_hip_yaw_link.STL,,胯-腿板-1,left_hip_yaw_axis,left_hip_yaw,left_hip_yaw_joint,revolute,0.0834999999999998,0,-0.0274999999999998,0,0,0,left_hip_roll_link,0,0,-1,90,12.56,-3.14,3.14,,,,,,,,
left_hip_pitch_link,0.00285213053332295,0.00576744283975891,-0.0314279752939084,0,0,0,8.35625719588693,0.0299311853300812,7.64247171409855E-06,0.000417601087427508,0.0432483466795871,-3.23273977823877E-06,0.0151265940853487,0,0,0,0,0,0,package://humanoidultra01/meshes/left_hip_pitch_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://humanoidultra01/meshes/left_hip_pitch_link.STL,,左大腿-1,left_hip_pitch_axis,left_hip_pitch,left_hip_pitch_joint,revolute,0,-0.00680000000000071,-0.1652,0,0,0,left_hip_yaw_link,0,-1,0,320,12.56,-3.14,3.14,,,,,,,,
left_knee_link,0.0045049450002695,-2.86625318701716E-06,-0.14699386444777,0,0,0,2.2006253535078,0.00731938398147656,1.68365107415941E-06,0.000425912962065474,0.00757634101869059,3.80014788329476E-05,0.000705422468673656,0,0,0,0,0,0,package://humanoidultra01/meshes/left_knee_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://humanoidultra01/meshes/left_knee_link.STL,,左小腿-1,left_knee_axis,left_knee,left_knee_joint,revolute,0,0,-0.38,0,0,0,left_hip_pitch_link,0,-1,0,320,12.56,-3.14,3.14,,,,,,,,
left_ankle_pitch_link,-1.4696924902774E-08,-0.000199999999995495,1.11900992916247E-08,0,0,0,0.0565157925442668,8.36355353854203E-06,-4.95515159898122E-13,-1.01910871929047E-07,3.68550143745607E-06,2.20362334584987E-14,1.06506273077217E-05,0,0,0,0,0,0,package://humanoidultra01/meshes/left_ankle_pitch_link.STL,0.650980392156863,0.619607843137255,0.588235294117647,1,0,0,0,0,0,0,package://humanoidultra01/meshes/left_ankle_pitch_link.STL,,十字轴-2,left_ankle_pitch_axis,left_ankle_pitch,left_ankle_pitch_joint,revolute,0.000178842126592992,0,-0.367370694199002,0,0,0,left_knee_link,0,1,0,72,12.56,-3.14,3.14,,,,,,,,
left_ankle_roll_link,0.00491485422823432,-0.000192395369516138,-0.0302785570375643,0,0,0,0.759386215192794,0.000326161041860855,2.51063626666291E-08,-7.38486153073608E-05,0.00149968755975961,1.11564259516874E-08,0.00175283973239717,0,0,0,0,0,0,package://humanoidultra01/meshes/left_ankle_roll_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://humanoidultra01/meshes/left_ankle_roll_link.STL,,足部-1,left_ankle_roll_axis,left_ankle_roll,left_ankle_roll_joint,revolute,0,0,0,0,-0.0428243667780047,0,left_ankle_pitch_link,0.996194698091745,0,-0.0871557427476591,72,12.56,-3.14,3.14,,,,,,,,
right_hip_roll_link,0.0819475708697378,1.68524982108176E-06,-0.0068080909950437,0,0,0,1.58332289216179,0.0014431761394212,-6.62279064771054E-09,-9.4260030672542E-06,0.0021016534697387,-5.49960797900355E-09,0.00327063818377046,0,0,0,0,0,0,package://humanoidultra01/meshes/right_hip_roll_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://humanoidultra01/meshes/right_hip_roll_link.STL,,大腿内旋-1,right_hip_roll_axis,right_hip_roll,right_hip_roll_joint,revolute,-0.0835000000000026,-0.149766660498396,-0.034358638544096,0,0,0,base_link,1,0,0,300,12.56,-3.14,3.14,,,,,,,,
right_hip_yaw_link,-7.6414068006514E-07,-0.0229567950736269,-0.100460699465143,0,0,0,1.47113712969535,0.00504026442037274,-1.40183363128978E-07,-4.42977593052898E-07,0.00200739079077323,0.000896780985395036,0.00415425170246455,0,0,0,0,0,0,package://humanoidultra01/meshes/right_hip_yaw_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://humanoidultra01/meshes/right_hip_yaw_link.STL,,胯-腿板-2,right_hip_yaw_axis,right_hip_yaw,right_hip_yaw_joint,revolute,0.0834999999999998,0,-0.027499999999999,0,0,0,right_hip_roll_link,0,0,-1,90,12.56,-3.14,3.14,,,,,,,,
right_hip_pitch_link,0.00296426669095076,-0.0056572595511804,-0.0312968719880364,0,0,0,8.38231462051888,0.0300298740703275,-4.40872523480852E-06,0.000419731056752502,0.0434052882662707,1.8936486520227E-06,0.0152090262496839,0,0,0,0,0,0,package://humanoidultra01/meshes/right_hip_pitch_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://humanoidultra01/meshes/right_hip_pitch_link.STL,,右大腿-2,right_hip_pitch_axis,right_hip_pitch,right_hip_pitch_joint,revolute,0,0.00680000000000022,-0.1652,0,0,0,right_hip_yaw_link,0,1,0,320,12.56,-3.14,3.14,,,,,,,,
