t,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_joint,left_wrist_roll_joint,left_wrist_pitch_joint,left_wrist_yaw_joint
0.000000000000000000e+00,-8.762017381031892427e-01,-1.201451877778472177e-01,1.872875430499422844e+00,-8.492239584416015896e-01,-6.075571061601294787e-01,9.224115643122392516e-01,-1.475129591368248727e+00
2.000000000000000111e-01,-8.883268582097896271e-01,-1.392553395478932643e-01,2.013917317959348363e+00,-8.676958999882764534e-01,-4.694166476642247510e-01,8.335536751427916613e-01,-1.230630496878370561e+00
4.000000000000000222e-01,-9.032798491049092160e-01,-1.515361596393113852e-01,2.184863005585454765e+00,-8.624997205963162994e-01,-3.989838786220885058e-01,7.343153133056454784e-01,-8.062548201509905921e-01
6.000000000000000888e-01,-9.309706234435218830e-01,-1.665263490967401339e-01,2.329896247698944656e+00,-8.298023548725819154e-01,-4.072711215655197003e-01,6.571275893866428408e-01,-2.737117706431111408e-01
8.000000000000000444e-01,-9.722138157774131706e-01,-1.832468716879824266e-01,2.397154081248226376e+00,-7.737462237640218010e-01,-4.759032040542683362e-01,6.250623613115648958e-01,2.485616332689160046e-01
1.000000000000000000e+00,-1.017332612325758223e+00,-1.895992050031121146e-01,2.358931571362623547e+00,-7.060463905554571484e-01,-5.635210852330622133e-01,6.444643257105759915e-01,6.306661122391716834e-01
1.200000000000000178e+00,-1.049630957502103890e+00,-1.673856706729808519e-01,2.222741685109463461e+00,-6.427291450797455452e-01,-6.205511318949474830e-01,7.039929479706027449e-01,7.720510355191210206e-01
1.400000000000000133e+00,-1.052410474203591129e+00,-1.009909605371669544e-01,2.028917583115365630e+00,-5.990682156178293027e-01,-6.070359057879159970e-01,7.801673673376452456e-01,6.336639577145884994e-01
1.600000000000000089e+00,-1.016709263688184484e+00,1.384688492680499761e-02,1.835624486770130348e+00,-5.844979944131605265e-01,-5.070767079386011567e-01,8.470632105968918246e-01,2.501711011756386216e-01
1.800000000000000044e+00,-9.465448641226635873e-01,1.649520564844152437e-01,1.697003901139536364e+00,-5.993522249425035087e-01,-3.346862468182088546e-01,8.863053973126135965e-01,-2.819479752840639564e-01
2.000000000000000000e+00,-8.593242396343878653e-01,3.247800593089000820e-01,1.642840003207150623e+00,-6.346544456685691005e-01,-1.290227430412695941e-01,8.934964365494816319e-01,-8.360359996110808822e-01
2.200000000000000178e+00,-7.809156722107699622e-01,4.577683162905200054e-01,1.667588660637268294e+00,-6.750975476497756977e-01,5.911852090321298436e-02,8.786984690673779186e-01,-1.295292228968774051e+00
