t,left_shoulder_pitch_joint,left_shoulder_roll_joint,left_shoulder_yaw_joint,left_elbow_joint,left_wrist_roll_joint,left_wrist_pitch_joint,left_wrist_yaw_joint
0.000000000000000000e+00,-6.974908283171746270e-02,4.162237722718352684e-01,1.317421313483739809e-01,9.533926025698409301e-01,-4.657999066403367694e-01,8.283522973185590832e-01,3.979345099622552673e-01
2.000000000000000111e-01,-9.061675493313545160e-02,4.740117142413441953e-01,3.044184814739169659e-02,9.533402414372980083e-01,-4.457289384310159641e-01,8.200761630989628070e-01,4.436423618865807939e-01
4.000000000000000222e-01,-8.236106642361665231e-02,5.347798842633361138e-01,-5.964691465663361086e-02,9.531460927163384333e-01,-4.791991527598951084e-01,7.927484424627981863e-01,4.856173015922985448e-01
6.000000000000000888e-01,-3.758832621877263025e-02,5.729765581922752204e-01,-1.108601553782689042e-01,9.686127487143971759e-01,-5.578976193746399970e-01,7.426479092497273449e-01,5.124494867625063454e-01
8.000000000000000444e-01,4.447179427673977198e-02,5.692630683209962683e-01,-1.106306371082549506e-01,1.010990865231472302e+00,-6.497349887799725998e-01,6.747314845515696158e-01,5.146318713469868467e-01
1.000000000000000000e+00,1.561686266178685389e-01,5.182388010331060446e-01,-6.665932515514744194e-02,1.080967109639479062e+00,-7.091034676042347051e-01,6.021526078989867248e-01,4.868012503276791247e-01
1.200000000000000178e+00,2.816453795658482306e-01,4.312690533133791138e-01,-3.936540719357263518e-03,1.166934649483638342e+00,-6.935165838276213801e-01,5.426286312267319945e-01,4.290210101384995811e-01
1.400000000000000133e+00,3.993918616461490378e-01,3.332214233899128408e-01,4.529879629197546692e-02,1.248397104513047973e+00,-5.805236300994054410e-01,5.128399770953298020e-01,3.468157331582834568e-01
1.600000000000000089e+00,4.867164370138584717e-01,2.541853060652465301e-01,5.478124519794530523e-02,1.303314490097825962e+00,-3.784391349248235614e-01,5.228233036809707412e-01,2.500115522801010237e-01
1.800000000000000044e+00,5.250404893826096098e-01,2.191366274989830498e-01,1.543777251578769272e-02,1.316596615793960368e+00,-1.265371188039951800e-01,5.723804541727346429e-01,1.507443304650886440e-01
2.000000000000000000e+00,5.045553252311296699e-01,2.393003610170157947e-01,-5.988234578324493074e-02,1.286414944617611411e+00,1.158307577441750058e-01,6.508324351694466658e-01,6.117795308016674150e-02
2.200000000000000178e+00,4.268795017679706261e-01,3.083539574559699403e-01,-1.402059837043293511e-01,1.225758827213544677e+00,2.876424702374987263e-01,7.402547635698729644e-01,-8.517878388540095491e-03
2.400000000000000355e+00,3.049010209093004353e-01,4.048318370510226583e-01,-1.875359794208997788e-01,1.158431351323487402e+00,3.457522130178360964e-01,8.210787930420611058e-01,-5.153171570556819292e-02
